review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000030,ORD-20251118-570224,CUST-10485,REST-DXB-001,Really good Malai Kofta and Palak Paneer! The Palak Paneer was delicious. Slight delay in delivery but food quality made up for it.,4,2025-11-24T12:47:22.354576
REV-000033,ORD-20251124-640601,CUST-10282,REST-DXB-001,Great food overall. Chicken 65  Kulfi  Aloo Tikki Chaat  and Gajar Halwa were tasty  especially the Chicken 65. Would order again!,4,2025-11-26T21:11:42.354576
REV-000032,ORD-20251124-270884,CUST-10297,REST-DXB-001,Appalling quality! Palak Paneer  Chole Bhature  and Butter Chicken were swimming in oil. Chole Bhature was raw inside. Health hazard!,1,2025-11-28T13:47:29.354576
REV-000034,ORD-20251127-477412,CUST-10215,REST-AUH-001,Really good Sweet Lassi  Chicken Biryani  Mango Lassi  and Lamb Rogan Josh! The Chicken Biryani was delicious. Slight delay in delivery but food quality made up for it.,4,2025-11-28T19:34:33.354576
REV-000036,ORD-20251130-846629,CUST-10374,REST-SHJ-001,Perfect in every way! Butter Chicken  Garlic Naan  Rasmalai (2 pcs)  and Mango Lassi were all excellent. Rasmalai (2 pcs) stood out with its rich  authentic taste.,5,2025-12-03T14:07:49.354576
REV-000038,ORD-20251202-460205,CUST-10062,REST-DXB-002,Absolutely amazing Lamb Rogan Josh and Aloo Tikki Chaat! The Lamb Rogan Josh was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-12-03T21:21:07.354576
REV-000035,ORD-20251128-131763,CUST-10406,REST-DXB-001,Hands down the best Rasmalai (2 pcs) I've ever had! Rasmalai (2 pcs) and Garlic Naan were all prepared beautifully. Fresh and flavorful!,5,2025-12-04T15:10:47.354576
REV-000039,ORD-20251203-484851,CUST-10438,REST-DXB-001,Solid experience. Malai Kofta  Paneer Butter Masala  Chicken Tikka Masala  and Jeera Rice were well-prepared. Malai Kofta had great flavor. Minor issues with packaging.,4,2025-12-08T12:00:25.354576
REV-000037,ORD-20251202-459564,CUST-10445,REST-DXB-001,Absolutely amazing Palak Paneer! The Palak Paneer was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-12-08T20:00:30.354576
REV-000040,ORD-20251204-849698,CUST-10101,REST-AUH-001,Incredible meal! Fresh Lime Soda  Masala Chai  and Mango Lassi arrived hot and fresh. The Mango Lassi was absolutely divine. Highly satisfied!,5,2025-12-09T18:27:29.354576
REV-000041,ORD-20251207-292740,CUST-10112,REST-AUH-001,Wow! Just wow! Gajar Halwa were all fantastic. Gajar Halwa was particularly memorable. Can't wait to order again!,5,2025-12-10T13:28:21.354576
REV-000042,ORD-20251207-569421,CUST-10270,REST-SHJ-001,Solid experience. Fresh Lime Soda were well-prepared. Fresh Lime Soda had great flavor. Minor issues with packaging.,4,2025-12-10T17:05:56.354576
REV-000045,ORD-20251212-627439,CUST-10235,REST-DXB-001,Incredible meal! Vegetable Biryani and Rasmalai (2 pcs) arrived hot and fresh. The Vegetable Biryani was absolutely divine. Highly satisfied!,5,2025-12-13T12:13:01.354576
REV-000044,ORD-20251211-450087,CUST-10321,REST-DXB-002,Best Indian food in UAE! Fish Curry were incredible. Fish Curry had the perfect balance of spices. Five stars!,5,2025-12-14T17:16:26.354576
REV-000043,ORD-20251208-867451,CUST-10426,REST-AUH-002,Mediocre. Paneer Butter Masala  Naan  Gulab Jamun (2 pcs)  Chicken Biryani  and Butter Naan were fine but forgettable. Chicken Biryani didn't stand out.,3,2025-12-14T20:22:49.354576
REV-000046,ORD-20251214-349317,CUST-10417,REST-AUH-002,Hands down the best Gulab Jamun (2 pcs) I've ever had! Gulab Jamun (2 pcs) were all prepared beautifully. Fresh and flavorful!,5,2025-12-15T17:27:12.354576
REV-000047,ORD-20251215-667737,CUST-10253,REST-SHJ-001,Pleasant meal! Chicken Tikka Masala  Chicken Biryani  and Naan arrived warm. Chicken Tikka Masala was tasty though not exceptional. Would order again.,4,2025-12-16T10:02:49.354576
REV-000048,ORD-20251218-847194,CUST-10013,REST-SHJ-001,Absolutely amazing Samosa (2 pcs)! The Samosa (2 pcs) was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-12-20T12:31:19.354576
REV-000049,ORD-20251219-728352,CUST-10201,REST-SHJ-001,Mixed feelings. Masala Chai were acceptable. Masala Chai was decent but portion was small for the price.,3,2025-12-24T16:50:47.354576
REV-000050,ORD-20251219-545565,CUST-10237,REST-DXB-002,Hands down the best Butter Chicken I've ever had! Butter Chicken  Garlic Naan  Butter Naan  and Gajar Halwa were all prepared beautifully. Fresh and flavorful!,5,2025-12-24T22:18:07.354576
REV-000051,ORD-20251223-523981,CUST-10001,REST-AUH-002,Pleasant meal! Jeera Rice and Chicken Biryani arrived warm. Chicken Biryani was tasty though not exceptional. Would order again.,4,2025-12-27T20:49:46.354576
REV-000052,ORD-20251226-401187,CUST-10417,REST-AUH-001,Poor experience. Gajar Halwa  Jeera Rice  Butter Naan  and Vegetable Biryani were disappointing. Butter Naan was burnt on the edges. Very unhappy.,2,2025-12-28T10:38:28.354576
REV-000053,ORD-20251227-767142,CUST-10374,REST-AUH-002,Average experience. Paneer Tikka  Lamb Rogan Josh  Mango Lassi  and Butter Naan were fine but Paneer Tikka was a bit bland. Room for improvement.,3,2025-12-29T14:50:28.354576
REV-000055,ORD-20251229-446099,CUST-10427,REST-AUH-002,Incredible meal! Lamb Rogan Josh  Vegetable Biryani  Butter Chicken  Chicken Biryani  and Masala Chai arrived hot and fresh. The Masala Chai was absolutely divine. Highly satisfied!,5,2025-12-30T20:33:04.354576
REV-000054,ORD-20251228-639354,CUST-10151,REST-DXB-001,Absolutely amazing Rasmalai (2 pcs)  Chicken 65  and Malai Kofta! The Rasmalai (2 pcs) was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-12-30T21:49:16.354576
REV-000056,ORD-20251230-624922,CUST-10149,REST-AUH-002,Hands down the best Paneer Butter Masala I've ever had! Paneer Butter Masala were all prepared beautifully. Fresh and flavorful!,5,2026-01-04T21:27:57.354576
REV-000057,ORD-20260101-865270,CUST-10439,REST-DXB-001,Outstanding experience! The Paneer Butter Masala and Fish Curry exceeded all expectations. Paneer Butter Masala was the star of the meal. Will definitely order again!,5,2026-01-05T20:07:43.354576
REV-000059,ORD-20260103-203580,CUST-10305,REST-AUH-001,Best Indian food in UAE! Sweet Lassi were incredible. Sweet Lassi had the perfect balance of spices. Five stars!,5,2026-01-06T22:21:26.354576
REV-000058,ORD-20260101-477881,CUST-10474,REST-AUH-001,Wow! Just wow! Chicken 65  Mango Lassi  Sweet Lassi  and Fish Curry were all fantastic. Sweet Lassi was particularly memorable. Can't wait to order again!,5,2026-01-07T21:38:31.354576
REV-000060,ORD-20260104-743681,CUST-10317,REST-SHJ-001,Very satisfied! Chicken Seekh Kebab  Palak Paneer  Paneer Butter Masala  and Jeera Rice were fresh and flavorful. Paneer Butter Masala was the standout dish.,4,2026-01-11T16:38:48.354576
REV-000061,ORD-20260106-242413,CUST-10298,REST-DXB-002,Incredible meal! Palak Paneer  Gajar Halwa  and Jeera Rice arrived hot and fresh. The Jeera Rice was absolutely divine. Highly satisfied!,5,2026-01-12T14:54:36.354576
REV-000062,ORD-20260109-355825,CUST-10446,REST-DXB-002,Solid experience. Paneer Butter Masala  Chicken Biryani  and Dal Makhani were well-prepared. Paneer Butter Masala had great flavor. Minor issues with packaging.,4,2026-01-14T22:42:55.354576
REV-000063,ORD-20260117-636567,CUST-10365,REST-DXB-002,Mediocre. Samosa (2 pcs) were fine but forgettable. Samosa (2 pcs) didn't stand out.,3,2026-01-20T13:38:45.354576
REV-000064,ORD-20260117-249249,CUST-10060,REST-AUH-001,Really good Gajar Halwa  Chicken Tikka Masala  Butter Chicken  and Vegetable Biryani! The Gajar Halwa was delicious. Slight delay in delivery but food quality made up for it.,4,2026-01-21T13:38:55.354576
REV-000066,ORD-20260119-733520,CUST-10025,REST-SHJ-001,Solid experience. Chicken Tikka Masala  Vegetable Biryani  Mango Lassi  and Kulfi were well-prepared. Vegetable Biryani had great flavor. Minor issues with packaging.,4,2026-01-21T22:16:34.354576
REV-000065,ORD-20260119-787761,CUST-10001,REST-AUH-001,Mixed feelings. Butter Naan  Gulab Jamun (2 pcs)  Sweet Lassi  Chicken Tikka Masala  and Rasmalai (2 pcs) were acceptable. Rasmalai (2 pcs) was decent but portion was small for the price.,3,2026-01-23T16:36:13.354576
REV-000071,ORD-20260123-245288,CUST-10409,REST-DXB-002,It was okay. Malai Kofta  Vegetable Biryani  Paneer Tikka  Chicken Tikka Masala  and Fish Curry arrived lukewarm. Fish Curry tasted fine but could be better.,3,2026-01-24T22:25:36.354576
REV-000067,ORD-20260120-986455,CUST-10306,REST-AUH-002,Perfect in every way! Paneer Tikka and Naan were all excellent. Naan stood out with its rich  authentic taste.,5,2026-01-26T13:11:16.354576
REV-000069,ORD-20260121-876444,CUST-10427,REST-SHJ-001,Hands down the best Sweet Lassi I've ever had! Paneer Butter Masala  Aloo Tikki Chaat  Chicken Biryani  Sweet Lassi  and Jeera Rice were all prepared beautifully. Fresh and flavorful!,5,2026-01-27T21:41:13.354576
REV-000070,ORD-20260122-512738,CUST-10315,REST-SHJ-001,Incredible meal! Dal Makhani and Lamb Rogan Josh arrived hot and fresh. The Lamb Rogan Josh was absolutely divine. Highly satisfied!,5,2026-01-27T22:04:06.354576
REV-000068,ORD-20260121-657813,CUST-10403,REST-AUH-002,Hands down the best Masala Chai I've ever had! Kulfi and Masala Chai were all prepared beautifully. Fresh and flavorful!,5,2026-01-28T14:57:06.354576
REV-000072,ORD-20260128-849391,CUST-10054,REST-AUH-001,Unsatisfactory. Jeera Rice  Aloo Tikki Chaat  Tandoori Roti  and Paneer Butter Masala were not fresh. Tandoori Roti tasted reheated. Won't order again.,2,2026-01-30T21:27:53.354576
REV-000073,ORD-20260202-494215,CUST-10477,REST-DXB-002,Incredible meal! Vegetable Biryani  Rasmalai (2 pcs)  Chicken 65  and Paneer Tikka arrived hot and fresh. The Rasmalai (2 pcs) was absolutely divine. Highly satisfied!,5,2026-02-06T11:48:19.354576
REV-000074,ORD-20260203-839955,CUST-10020,REST-DXB-001,Mixed feelings. Aloo Tikki Chaat and Butter Chicken were acceptable. Aloo Tikki Chaat was decent but portion was small for the price.,3,2026-02-06T14:58:05.354576
REV-000076,ORD-20260207-810268,CUST-10165,REST-DXB-001,Perfect in every way! Malai Kofta  Samosa (2 pcs)  and Tandoori Roti were all excellent. Samosa (2 pcs) stood out with its rich  authentic taste.,5,2026-02-10T16:02:45.354576
REV-000075,ORD-20260206-689778,CUST-10175,REST-DXB-002,Mixed feelings. Chicken Seekh Kebab and Butter Chicken were acceptable. Chicken Seekh Kebab was decent but portion was small for the price.,3,2026-02-13T16:30:42.354576
REV-000077,ORD-20260211-501705,CUST-10164,REST-SHJ-001,Enjoyed the Tandoori Roti! Tandoori Roti was very good. Portion sizes were generous. Recommend!,4,2026-02-18T20:14:17.354576
